year,noftaii,noftaiiagr,noindfi,noindfiagr,nodtvasu,nodtvasuagr,feeftit,feeftitagr,feeftust,feeftustagr,wnoita,wnoitaagr,witr,witragr,aprnoita,aprnoitaagr,apfitr,apritragr,ipwiita,ipwirwta,ipwsiitr,ipwirwtr,ipaprita,ipaprirta,ipapritr,ipaprirtr
2014,7.68,10.2,18.33,10.3,1290.0,12.9,123320,14.5,20.24,9.7,1133,4.2,1248,4.2,264.0,5.7,377.0,4.7,0.68,41,1.62,15,2.91,12,5.37,8
2015,8.03,4.5,20.38,11.1,1432.0,11.6,135193,9.6,21.07,4.1,1184,4.4,1232,-4.9,278.6,5.4,418.9,-0.3,0.68,40,1.71,14,2.88,11,5.03,7
2016,8.8,9.7,21.87,7.3,1613.6,12.7,154146,14.0,22.92,8.8,1235,3.9,1220,2.0,308.7,8.7,366.7,4.9,1.18,25,1.88,13,4.72,8,6.25,7
2017,10.04,14.0,23.94,9.5,1652.49,2.3,177874,15.4,27.31,19.1,1323,6.8,1332,7.5,323.2,5.7,389.5,5.0,1.17,26,2.05,13,4.81,7,7.01,7
2018,10.56,5.2,26.3,9.8,1854.9,11.9,194892,9.6,28.585,4.7,1403,5.6,1448,7.6,345.1,6.5,432.9,9.3,1.24,25,1.97,13,5.05,7,6.6,7
2019,10.93,3.5,26.92,2.4,2321.98,25.3,211661,8.6,30.058,5.1,1460,3.6,1478,1.4,360.7,3.7,443.1,1.6,1.23,23,2.03,12,4.97,8,6.78,6
2020,2.74,-74.9,7.29,-97.3,610.22,-73.7,50136,-76.3,6.958,-76.9,399,-72.8,535,-63.5,56.9,-84.2,132.5,-70.0,1.59,-,1.3,-,11.9,-,5.25,-
